外形漂亮 + 4064
性能强大 + 3478
物流快 + 2746
性价比高 + 2019
手感舒适 + 1331
续航不错 + 976
价格实惠 + 970
系统不错 + 918
客服不错 + 655
质量不错 + 617
性能一般 - 419
做工不错 + 391
指纹识别快 + 285
Home键歪 - 230
拍照不错 + 175
价格合适 + 170
屏幕分辨率高 + 158
拍照一般 - 150
屏幕清晰度不错 + 139
指纹识别不错 + 139
手机便宜 + 131
手机是正品 + 114
屏幕不错 + 101
手机快 + 94
散热稳定 + 89
外形大气 + 85
麦克风音质不错 + 80
手机值 + 72
摄像头一般 - 72
屏幕分辨率一般 - 69
指纹识别方便 + 65
运气不错 + 64
屏幕尺寸合适 + 62
通话音质清晰 + 62
设计不错 + 57
散热一般 - 54
手机发热 - 53
色彩不错 + 53
喇叭一般 - 52
方面不错 + 52
做工一般 - 50
物流慢 - 50
耳机不错 + 50
键歪 - 50
价格优惠 + 49
应用不错 + 46
续航一般 - 45
系统漂亮 + 43
喇叭音质一般 - 41
套餐不错 + 41
双卡顿 - 39
操作流畅 + 39
按键歪 - 37
续航 + 37
玩游戏流畅 + 36
网速快 + 36
设计漂亮 + 36
后盖漂亮 + 35
操作方便 + 34
充电发热 - 33
屏幕发红 - 32
物流一流 + 31
屏幕一般 - 30
售后不错 + 29
功能不错 + 28
性能灵敏 + 28
手机歪 - 28
购物不错 + 28
个人不错 + 27
内存不错 + 26
摄像头不错 + 26
时间长 + 26
价格贵 + 25
充电快 + 25
容量不错 + 25
指纹识别歪 - 25
质量一般 - 25
容量大 + 24
经济实惠 + 23
手机 + 22
手机高 + 22
音量键松动 - 22
麦克风音质一般 - 22
手机第一 + 21
喇叭音质不错 + 20
外形歪 - 20
性价比无敌 + 20
性能不一般 + 20
摄像清晰 + 20
性能 + 19
品牌值得信赖 + 18
手机舒服 + 18
手机轻薄 + 18
通话清晰 + 18
Home键不错 + 17
手感一般 - 17
处理器不错 + 16
手感流畅 + 16
手机用心 + 16
材质不错 + 16
玩游戏发热 - 16
价格漂亮 + 15
外形完美 + 15
性能没有一般 + 15
操作不错 + 15
物流没得说 + 15
通话不错 + 15
颜色漂亮 + 15
Home键松动 - 14
系统一般 - 14
耳机一般 - 14
色彩一般 - 14
评价不错 + 14
赠品不错 + 14
备用机不错 + 13
字不错 + 13
屏幕合适 + 13
屏幕漂亮 + 13
手机不赖 + 13
手机长 + 13
看视频不错 + 13
上网快 + 12
功能强大 + 12
外形最高 + 12
套餐一般 - 12
手机套不错 + 12
光泽度不错 + 11
喇叭不错 + 11
大家不错 + 11
性能够快 + 11
手机厚 - 11
手机红屏 - 11
手机顺手 + 11
按键松动 - 11
系统人性化 + 11
网络给力 + 11
自营不错 + 11
配件不错 + 11
外形时尚 + 10
外形没话说 + 10
外形第一 + 10
套餐坑人 - 10
屏幕发黄 - 10
屏幕清晰度一般 - 10
屏幕灵敏 + 10
性能飞快 + 10
手机无敌 + 10
手机王者 + 10
手机顺畅 + 10
拍照不不错 - 10
机身发热 - 10
物流一般 - 10
自营值得信赖 + 10
购物愉快 + 10
通话音质差 - 10
充电器发热 - 9
